,content,name
Autohaus Gady,"{""addr:city"": ""Deutsch Goritz"", ""addr:housenumber"": ""26"", ""addr:place"": ""Deutsch Goritz"", ""addr:postcode"": ""8483"", ""name"": ""Autohaus Gady"", ""shop"": ""car_repair"", ""website"": ""https://www.gady.at/"", ""address"": ""Deutsch Goritz 26, 8483 Deutsch Goritz, Austria""}",Autohaus Gady
Fripertinger GesmbH,"{""addr:city"": ""B\u00c3\u00a4rnbach"", ""addr:country"": ""AT"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""8570"", ""addr:street"": ""Packer Stra\u00c3\u0178e"", ""contact:phone"": ""+43 3142 237 000"", ""name"": ""Fripertinger GesmbH"", ""shop"": ""car_repair"", ""website"": ""https://www.fripertinger.at/"", ""address"": ""Packer Stra\u00dfe 4, 8570 B\u00e4rnbach, Austria""}",Fripertinger GesmbH
Rossegger & Baumann,"{""addr:city"": ""K\u00c3\u00b6flach"", ""addr:country"": ""AT"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""8580"", ""addr:street"": ""Dillacherstra\u00c3\u0178e"", ""contact:phone"": ""+43 3144 2293"", ""name"": ""Rossegger & Baumann"", ""opening_hours"": ""Mo-Th 08:00-17:00; Fr 8:00-16:30; Sa 09:00-12:00"", ""shop"": ""car_repair"", ""website"": ""https://www.rosseggerbaumann.at/"", ""address"": ""Dillacherstra\u00dfe 4, 8580 K\u00f6flach, Austria""}",Rossegger & Baumann
Korbel CarTuning,"{""name"": ""Korbel CarTuning"", ""shop"": ""car_repair"", ""address"": ""Heizwerkweg, 8230 Hartberg, Austria""}",Korbel CarTuning
"Lind Karosserie, Lack & Glas","{""addr:city"": ""Hartberg"", ""addr:country"": ""AT"", ""addr:housenumber"": ""15-17"", ""addr:postcode"": ""8230"", ""addr:street"": ""Flurgasse"", ""at_bev:addr_date"": ""2019-10-01"", ""name"": ""Lind Karosserie, Lack & Glas"", ""opening_hours"": ""Mo-Th 07:15-12:00,13:00-16:30; Fr 07:15-12:00,12:30-16:00"", ""operator"": ""TL Automobile Vertriebs GmbH & Co KG"", ""phone"": ""+43 3332 62496"", ""shop"": ""car_repair"", ""website"": ""https://www.auto-lind.at"", ""address"": ""Flurgasse 15-17, 8230 Hartberg, Austria""}","Lind Karosserie, Lack & Glas"
Abschleppdienst Steinkellner,"{""name"": ""Abschleppdienst Steinkellner"", ""shop"": ""car_repair"", ""address"": ""Bahnhofstra\u00dfe 154a, 9462 Bad St. Leonhard im Lavanttal, Austria""}",Abschleppdienst Steinkellner
Rauch & Wagner,"{""addr:housenumber"": ""3"", ""addr:postcode"": ""8141"", ""addr:street"": ""Rudolf-Diesel-Stra\u00c3\u0178e"", ""name"": ""Rauch & Wagner"", ""shop"": ""car_repair"", ""website"": ""https://www.rauchwagner.at/"", ""address"": ""Rudolf-Diesel-Stra\u00dfe 3, 8141 Premst\u00e4tten, Austria""}",Rauch & Wagner
Volvo Austria GmbH - WerkstÃ¤tte UnterpremstÃ¤tten,"{""addr:housenumber"": ""13"", ""addr:postcode"": ""8141"", ""addr:street"": ""Rudolf-Diesel-Stra\u00c3\u0178e"", ""name"": ""Volvo Austria GmbH - Werkst\u00c3\u00a4tte Unterpremst\u00c3\u00a4tten"", ""shop"": ""car_repair"", ""address"": ""Rudolf-Diesel-Stra\u00dfe 13, 8141 Premst\u00e4tten, Austria""}",Volvo Austria GmbH - WerkstÃ¤tte UnterpremstÃ¤tten
Technik braucht Service,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""26a"", ""addr:postcode"": ""8010"", ""addr:street"": ""H\u00c3\u00bcttenbrennergasse"", ""alt_name"": ""Fasching"", ""contact:email"": ""kundendienst@tsf.at"", ""contact:phone"": ""+43 316 81 38 28"", ""contact:website"": ""www.tsf.at"", ""full_name"": ""Technisches Service GmbH"", ""name"": ""Technik braucht Service"", ""office"": ""company"", ""opening_hours"": ""Mo-Fr 08:00-12:00, 13:30-16:00"", ""repair"": ""electronics"", ""shop"": ""electronics;hardware"", ""short_name"": ""TSF"", ""address"": ""H\u00fcttenbrennergasse 22-24, 8010 Graz, Austria""}",Technik braucht Service
MAN Truck & Bus Vertrieb Ã–sterreich AG,"{""brand"": ""MAN"", ""name"": ""MAN Truck & Bus Vertrieb \u00c3\u2013sterreich AG"", ""operator"": ""MAN Truck & Bus Vertrieb \u00c3\u2013sterreich AG"", ""shop"": ""car_repair"", ""address"": ""Schwarzer Weg 105, 8054 Graz, Austria""}",MAN Truck & Bus Vertrieb Ã–sterreich AG
Franz Gady GmbH,"{""addr:city"": ""Fehring"", ""addr:postcode"": ""8350"", ""addr:street"": ""Bahnhofstra\u00c3\u0178e"", ""name"": ""Franz Gady GmbH"", ""operator"": ""Franz Gady GmbH"", ""shop"": ""car_repair"", ""address"": ""Bahnhofstra\u00dfe 21, 8350 Fehring, Austria""}",Franz Gady GmbH
Josef ThierschÃ¤dl GmbH,"{""addr:city"": ""Stra\u00c3\u0178 in Steiermark"", ""addr:country"": ""AT"", ""addr:housename"": ""Karosseriebtrieb"", ""addr:housenumber"": ""60"", ""addr:postcode"": ""8472"", ""addr:street"": ""Reichsstra\u00c3\u0178e"", ""addr:suburb"": ""Vogau"", ""at_bev:addr_date"": ""2018-04-02"", ""name"": ""Josef Thiersch\u00c3\u00a4dl GmbH"", ""note"": ""Karosseriewerkst\u00c3\u00a4tte"", ""shop"": ""car_repair"", ""website"": ""www.thierschaedl.eu"", ""address"": ""Reichsstra\u00dfe 60, 8472 Stra\u00df in Steiermark, Austria""}",Josef ThierschÃ¤dl GmbH
Autohaus Steinwender,"{""addr:housename"": ""Autohaus Steinwender Renault"", ""addr:housenumber"": ""66"", ""addr:postcode"": ""9344"", ""addr:street"": ""Kaindorf"", ""name"": ""Autohaus Steinwender"", ""shop"": ""car_repair"", ""address"": ""Kaindorf 66, 9345 Weitensfeld im Gurktal, Austria""}",Autohaus Steinwender
Herk,"{""name"": ""Herk"", ""shop"": ""car_repair"", ""address"": ""Marktgasse 13, 8720 Knittelfeld, Austria""}",Herk
GÃ¼nther Baldasty,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""208"", ""addr:postcode"": ""8051"", ""addr:street"": ""Wiener Stra\u00c3\u0178e"", ""contact:phone"": ""+43 316 672426"", ""name"": ""G\u00c3\u00bcnther Baldasty"", ""shop"": ""car_repair"", ""source"": ""survey"", ""address"": ""Wiener Stra\u00dfe 208, 8051 Graz, Austria""}",GÃ¼nther Baldasty
Rasenroboter Guru,"{""addr:housenumber"": ""22"", ""addr:postcode"": ""8072"", ""addr:street"": ""Murbergstra\u00c3\u0178e"", ""name"": ""Rasenroboter Guru"", ""shop"": ""repair"", ""website"": ""https://wwww.rasenroboter.guru"", ""address"": ""Murbergstra\u00dfe 22, 8072 Fernitz-Mellach, Austria""}",Rasenroboter Guru
Renault Prasser,"{""name"": ""Renault Prasser"", ""shop"": ""car_repair"", ""address"": ""M\u00f6lbling 6, 9330 M\u00f6lbling, Austria""}",Renault Prasser
Renault Sauseng,"{""addr:city"": ""Weinitzen"", ""addr:housenumber"": ""4"", ""addr:postcode"": ""8044"", ""addr:street"": ""Weizerstra\u00c3\u0178e"", ""brand"": ""Renault"", ""brand:wikidata"": ""Q6686"", ""brand:wikipedia"": ""fr:Renault"", ""name"": ""Renault Sauseng"", ""opening_hours"": ""Mo-Fr 7:45-16:30"", ""opening_hours:covid19"": ""open"", ""operator"": ""Sauseng"", ""payment:cash"": ""yes"", ""payment:debit_cards"": ""yes"", ""phone"": ""+4331323383"", ""service:vehicle:brakes"": ""yes"", ""service:vehicle:car_parts"": ""yes"", ""service:vehicle:car_repair"": ""yes"", ""service:vehicle:diagnostics"": ""yes"", ""service:vehicle:inspection"": ""yes"", ""service:vehicle:new_car_sales"": ""yes"", ""service:vehicle:oil_change"": ""yes"", ""service:vehicle:tyres"": ""yes"", ""service:vehicle:used_car_sales"": ""yes"", ""shop"": ""car_repair"", ""website"": ""http://www.autohaus-sauseng.at/"", ""address"": ""Am Waldgrund 37, 8044 Weinitzen, Austria""}",Renault Sauseng
VW Audi Service Lind,"{""addr:city"": ""Friedberg"", ""addr:country"": ""AT"", ""addr:housenumber"": ""140"", ""addr:postcode"": ""8240"", ""addr:street"": ""Hochstra\u00c3\u0178e"", ""name"": ""VW Audi Service Lind"", ""opening_hours"": ""Mo,Fr 07:45-12:00, 13:00-17:00; Tu-Th 07:45-12:00, 13:00-16:30; "", ""operator"": ""Lind GmbH & Co KG"", ""phone"": ""+43 3339 22313-30"", ""shop"": ""car_repair"", ""website"": ""https://www.auto-lind.at"", ""address"": ""Hochstra\u00dfe 140, 8240 Friedberg, Austria""}",VW Audi Service Lind
Deutschmann,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""115"", ""addr:postcode"": ""8020"", ""addr:street"": ""Lagergasse"", ""contact:email"": ""deutschmann@mercedes.at"", ""contact:phone"": ""+43 316 712 139-0"", ""name"": ""Deutschmann"", ""opening_hours"": ""Mo-Th 07:00-17:00; Fr 07:00-14:30"", ""shop"": ""car_repair"", ""address"": ""Lagergasse 115, 8020 Graz, Austria""}",Deutschmann
Kfz Technik Meisterbetrieb & Gartentechnik,"{""name"": ""Kfz Technik Meisterbetrieb & Gartentechnik"", ""operator"": ""Robert Schleifer"", ""shop"": ""car_repair"", ""address"": ""Ligist Markt 116a, 8563 Ligist, Austria""}",Kfz Technik Meisterbetrieb & Gartentechnik
Autowerkstatt JÃ¶bstl,"{""name"": ""Autowerkstatt J\u00c3\u00b6bstl"", ""shop"": ""car_repair"", ""address"": ""Klagenfurterstra\u00dfe 205, 9462 Bad St. Leonhard im Lavanttal, Austria""}",Autowerkstatt JÃ¶bstl
Peter Rothwangl,"{""addr:city"": ""Seiersberg"", ""addr:housenumber"": ""104a"", ""addr:postcode"": ""8055"", ""addr:street"": ""Mitterstra\u00c3\u0178e"", ""name"": ""Peter Rothwangl"", ""phone"": ""+43316 292176"", ""shop"": ""car_repair"", ""address"": ""Mitterstra\u00dfe 104a, 8055 Seiersberg-Pirka, Austria""}",Peter Rothwangl
Ford Jagersberger,"{""addr:city"": ""Weiz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""67"", ""addr:postcode"": ""8160"", ""addr:street"": ""Dr.-Karl-Widdmann-Stra\u00c3\u0178e"", ""contact:phone"": ""+43 3172 5222"", ""contact:website"": ""http://www.jagersberger-automobil.at"", ""name"": ""Ford Jagersberger"", ""shop"": ""car_repair"", ""address"": ""Dr.-Karl-Widdmann-Stra\u00dfe 67, 8160 Weiz, Austria""}",Ford Jagersberger
Citroen Anton Wels GmbH,"{""name"": ""Citroen Anton Wels GmbH"", ""shop"": ""car_repair"", ""address"": ""Gewerbepark 160, 8232 Grafendorf bei Hartberg, Austria""}",Citroen Anton Wels GmbH
Ulbel,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""20"", ""addr:street"": ""Niclas-Strobl-Weg"", ""name"": ""Ulbel"", ""shop"": ""car_repair"", ""source"": ""data.graz.gv.at"", ""website"": ""ulbel.com"", ""address"": ""Niclas-Strobl-Weg 20, 8053 Graz, Austria""}",Ulbel
Schuh-Service Steingruber,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""29"", ""addr:postcode"": ""8045"", ""addr:street"": ""Andritzer Reichsstra\u00c3\u0178e"", ""name"": ""Schuh-Service Steingruber"", ""opening_hours"": ""Mo-Th 08:00-12:00,14:00-17:45; Fr 08:00-12:00"", ""shop"": ""shoe_repair"", ""source"": ""survey"", ""wheelchair"": ""no"", ""address"": ""Sch\u00f6ckelbachweg 66, 8045 Graz, Austria""}",Schuh-Service Steingruber
Fahrradservice Box,"{""amenity"": ""bicycle_repair_station"", ""compressed_air"": ""yes"", ""name"": ""Fahrradservice Box"", ""service:bicycle:pump"": ""yes"", ""service:bicycle:tools"": ""yes"", ""address"": ""Steyrergasse 17, 8010 Graz, Austria""}",Fahrradservice Box
Werkstatt Durlacher,"{""addr:housenumber"": ""55"", ""addr:place"": ""Pischelsdorf"", ""addr:postcode"": ""8212"", ""name"": ""Werkstatt Durlacher"", ""shop"": ""car_repair"", ""address"": ""Ortsdurchfahrtsweg, 8212 Pischelsdorf am Kulm, Austria""}",Werkstatt Durlacher
Auto Diepold GmbH,"{""name"": ""Auto Diepold GmbH"", ""shop"": ""car_repair"", ""address"": ""Poguschstra\u00dfe 186, 8625 Turnau, Austria""}",Auto Diepold GmbH
FÃ¼rstaller,"{""name"": ""F\u00c3\u00bcrstaller"", ""shop"": ""car_repair"", ""address"": ""Tulpenweg 2, 8600 Bruck an der Mur, Austria""}",FÃ¼rstaller
ATT HandelsgmbH Horst Spreitzhofer,"{""addr:city"": ""Ternitz Putzmannsdorf"", ""addr:housenumber"": ""22"", ""addr:postcode"": ""2630"", ""addr:street"": ""Fabriksstra\u00c3\u0178e"", ""name"": ""ATT HandelsgmbH Horst Spreitzhofer"", ""shop"": ""car_repair"", ""address"": ""Fabriksstra\u00dfe 22, 2630 Ternitz, Austria""}",ATT HandelsgmbH Horst Spreitzhofer
RGM KFZ-Technik und Design,"{""contact:email"": ""office@rgm-kfz.at"", ""contact:phone"": ""+43 664 3506339"", ""contact:website"": ""http://www.rgm-kfz.at/"", ""name"": ""RGM KFZ-Technik und Design"", ""shop"": ""car_repair"", ""address"": ""V\u00f6lkermarkter Stra\u00dfe 12, 9112 Griffen, Austria""}",RGM KFZ-Technik und Design
Landring-Lagerhaus Hirnsdorf,"{""addr:city"": ""Feistritztal"", ""addr:country"": ""AT"", ""addr:housenumber"": ""87"", ""addr:place"": ""Hirnsdorf"", ""addr:postcode"": ""8221"", ""at_bev:addr_date"": ""2018-10-01"", ""name"": ""Landring-Lagerhaus Hirnsdorf"", ""opening_hours"": ""Mo-Fr 07:30-12:00,13:00-17:00; Sa 07:30-12:00"", ""operator"": ""Landring Hirnsdorf"", ""shop"": ""car_repair"", ""address"": ""Hirnsdorf 87, 8221 Feistritztal, Austria""}",Landring-Lagerhaus Hirnsdorf
Autohaus PraÃŸl,"{""brand"": ""Opel & Suzuki"", ""name"": ""Autohaus Pra\u00c3\u0178l"", ""shop"": ""car_repair"", ""address"": ""Eichfelder Stra\u00dfe 22a, 8480 Mureck, Austria""}",Autohaus PraÃŸl
Autohaus Schaffer,"{""brand"": ""VW & Audi"", ""name"": ""Autohaus Schaffer"", ""shop"": ""car_repair"", ""wheelchair"": ""yes"", ""address"": ""Grazer Stra\u00dfe 76, 8480 Mureck, Austria""}",Autohaus Schaffer
KFZ Weber,"{""name"": ""KFZ Weber"", ""shop"": ""car_repair"", ""address"": ""Hoffeldstra\u00dfe 7, 8480 Mureck, Austria""}",KFZ Weber
Carglass,"{""addr:city"": ""Hartberg"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""8230"", ""addr:street"": ""Im Hatric"", ""brand"": ""Carglass"", ""brand:wikidata"": ""Q1035997"", ""name"": ""Carglass"", ""opening_hours"": ""Mo-Th 08:00-17:00; Fr 08:00-15:00"", ""phone"": ""+43 800 230230"", ""shop"": ""car_repair"", ""website"": ""https://www.carglass.at"", ""address"": ""Im Hatric 5, 8230 Hartberg, Austria""}",Carglass
Dr. Vinyl,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""329"", ""addr:postcode"": ""8054"", ""addr:street"": ""K\u00c3\u00a4rntner Stra\u00c3\u0178e"", ""name"": ""Dr. Vinyl"", ""shop"": ""car_repair"", ""source"": ""survey"", ""address"": ""Spot Experts, K\u00e4rntner Stra\u00dfe 329, Graz, Styria 8054, Austria""}",Dr. Vinyl
Mister Minit,"{""brand"": ""Mister Minit"", ""brand:wikidata"": ""Q1939269"", ""level"": ""0"", ""name"": ""Mister Minit"", ""shop"": ""repair"", ""address"": ""ShoppingCity Seiersberg, Shopping City Seiersberg 1-9, Seiersberg-Pirka, Styria 8055, Austria""}",Mister Minit
PÃ¶ttler Schuhreparatur,"{""addr:city"": ""Gleisdorf"", ""addr:country"": ""AT"", ""addr:housenumber"": ""18a"", ""addr:postcode"": ""8200"", ""addr:street"": ""B\u00c3\u00bcrgergasse"", ""contact:email"": ""poettler.schuhe@aon.at"", ""craft"": ""shoemaker"", ""name"": ""P\u00c3\u00b6ttler Schuhreparatur"", ""address"": ""B\u00fcrgergasse 18a, 8200 Gleisdorf, Austria""}",PÃ¶ttler Schuhreparatur
Vogl + Co,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""65"", ""addr:postcode"": ""8010"", ""addr:street"": ""Schie\u00c3\u0178stattgasse"", ""contact:phone"": ""+43 316 8080-0"", ""name"": ""Vogl + Co"", ""opening_hours"": ""Mo-Th 07:30-12:00,12:45-16:30; Fr 07:30-12:00,12:45-15:00"", ""shop"": ""car_repair"", ""address"": ""Vogl & Co, Schiestattgasse 65, Graz, Styria 8010, Austria""}",Vogl + Co
Lagerhaus,"{""name"": ""Lagerhaus"", ""shop"": ""car_repair"", ""address"": ""Streicherstra\u00dfe 3, 8121 Deutschfeistritz, Austria""}",Lagerhaus
Lackiererei Nezmahen,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""63"", ""addr:postcode"": ""8010"", ""addr:street"": ""Obere Bahnstra\u00c3\u0178e"", ""contact:fax"": ""+43 316 830372"", ""contact:phone"": ""+43 316 830372"", ""name"": ""Lackiererei Nezmahen"", ""shop"": ""car_repair"", ""source"": ""survey"", ""website"": ""http://www.nezmahen.at"", ""address"": ""Obere Bahnstra\u00dfe 63, 8010 Graz, Austria""}",Lackiererei Nezmahen
Koch Kfz GmbH,"{""addr:housenumber"": ""24"", ""addr:postcode"": ""8073"", ""addr:street"": ""Kalsdorfer Stra\u00c3\u0178e"", ""name"": ""Koch Kfz GmbH"", ""phone"": ""+43316 292563"", ""shop"": ""car_repair"", ""address"": ""Kalsdorfer Stra\u00dfe 24, 8073 Feldkirchen bei Graz, Austria""}",Koch Kfz GmbH
Klinger,"{""addr:city"": ""Kalsdorf bei Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""13"", ""addr:postcode"": ""8401"", ""addr:street"": ""Ortsried"", ""at_bev:addr_date"": ""2018-10-01"", ""name"": ""Klinger"", ""operator"": ""Klinger OG Kfz- u Motorradtechnik"", ""phone"": ""+433135 56060"", ""shop"": ""car_repair"", ""website"": ""https://klinger-racing.at/"", ""address"": ""Ortsried 13a, 8401 Kalsdorf bei Graz, Austria""}",Klinger
Vulco - Avtocenter Horvat,"{""addr:city"": ""Murska Sobota"", ""addr:housenumber"": ""2"", ""addr:postcode"": ""9000"", ""addr:street"": ""Ulica Matije Gubca"", ""name"": ""Vulco - Avtocenter Horvat"", ""shop"": ""car_repair"", ""address"": ""Ulica Matije Gubca 2, 9000 Murska Sobota, Slovenia""}",Vulco - Avtocenter Horvat
WIKOTECH Car Service Center,"{""addr:city"": ""S\u00c3\u00b6ding-Sankt Johann"", ""addr:country"": ""AT"", ""addr:housenumber"": ""171"", ""addr:postcode"": ""8561"", ""addr:street"": ""Packerstra\u00c3\u0178e"", ""name"": ""WIKOTECH Car Service Center"", ""phone"": ""+433137 28853"", ""shop"": ""car_repair"", ""address"": ""Packerstra\u00dfe 171, 8561 S\u00f6ding-Sankt Johann, Austria""}",WIKOTECH Car Service Center
Poier,"{""name"": ""Poier"", ""shop"": ""car_repair"", ""address"": ""Enzersdorfer Stra\u00dfe 5, 8761 P\u00f6ls-Oberkurzheim, Austria""}",Poier
Papst GesmbH,"{""addr:city"": ""Voitsberg"", ""addr:country"": ""AT"", ""addr:housenumber"": ""120"", ""addr:postcode"": ""8572"", ""addr:street"": ""Grazer Vorstadt"", ""brand"": ""BMW"", ""brand:wikidata"": ""Q26678"", ""brand:wikipedia"": ""en:BMW"", ""contact:phone"": ""+43 3142 23745"", ""email"": ""info@papst.bmw.at"", ""name"": ""Papst GesmbH"", ""shop"": ""car_repair"", ""website"": ""https://bmw-papst-voitsberg.at/"", ""address"": ""Grazer Vorstadt 120, 8570 Voitsberg, Austria""}",Papst GesmbH
Helmut A. KnÃ¶dl,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""8045"", ""addr:street"": ""Am Eichengrund"", ""contact:email"": ""helmut.knoedl@speed.at"", ""contact:phone"": ""+43 316 691230"", ""contact:website"": ""http://www.knoedl.co.at/"", ""name"": ""Helmut A. Kn\u00c3\u00b6dl"", ""note"": ""Autospengler"", ""opening_hours"": ""Mo-We 07:30-12:30, 13:00-17:30;Th 07:30-12:30, 13:00-18:00"", ""operator"": ""Helmut August Kn\u00c3\u00b6dl"", ""shop"": ""car_repair"", ""source"": ""data.graz.gv.at"", ""address"": ""Am Eichengrund 5, 8045 Graz, Austria""}",Helmut A. KnÃ¶dl
GSM Servis Murska Sobota,"{""addr:city"": ""Murska Sobota"", ""addr:housenumber"": ""50a"", ""addr:postcode"": ""9000"", ""addr:street"": ""Ciril Metodova ulica"", ""email"": ""info@rgsm.si"", ""name"": ""GSM Servis Murska Sobota"", ""phone"": ""+386 70 297 990"", ""service"": ""mobile_phone repair"", ""shop"": ""mobile_phone"", ""website"": ""www.rgsm.si"", ""address"": ""Ciril Metodova Ulica 50, 9000 Murska Sobota, Slovenia""}",GSM Servis Murska Sobota
KFZ Bierbauer,"{""addr:city"": ""Markt Hartmannsdorf"", ""addr:postcode"": ""8311"", ""name"": ""KFZ Bierbauer"", ""shop"": ""car_repair"", ""address"": ""Hauptstra\u00dfe 178, 8311 Markt Hartmannsdorf, Austria""}",KFZ Bierbauer
KFZ Seidl,"{""addr:city"": ""Markt Hartmannsdorf"", ""addr:postcode"": ""8311"", ""name"": ""KFZ Seidl"", ""shop"": ""car_repair"", ""address"": ""Hauptstra\u00dfe 414, 8311 Markt Hartmannsdorf, Austria""}",KFZ Seidl
m. erkinger - Autolackiererei,"{""addr:city"": ""Hart bei Graz"", ""addr:housenumber"": ""1-3"", ""addr:postcode"": ""8075"", ""addr:street"": ""Industriestra\u00c3\u0178e"", ""contact:email"": ""office@fahrzeuglackierung.at"", ""contact:phone"": ""+43 (0) 664 / 542 50 50"", ""description"": ""Autolackiererei \u00e2\u20ac\u00a2 Spenglerei \u00e2\u20ac\u00a2 Spot-Repair"", ""name"": ""m. erkinger - Autolackiererei"", ""opening_hours"": ""Mo-Th 07:00-17:00;Fr 07:00-12:00"", ""owner"": ""Michael Erkinger"", ""shop"": ""car_repair"", ""website"": ""https://www.fahrzeuglackierung.at/"", ""address"": ""Industriestra\u00dfe 1-3, 8075 Hart bei Graz, Austria""}",m. erkinger - Autolackiererei
KFZ Krappinger,"{""addr:city"": ""Sankt Barbara im M\u00c3\u00bcrztal"", ""addr:country"": ""AT"", ""addr:housename"": ""KFZ Krappinger"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""8663"", ""addr:street"": ""Schmelzstra\u00c3\u0178e"", ""at_bev:addr_date"": ""2018-10-01"", ""name"": ""KFZ Krappinger"", ""shop"": ""car_repair"", ""address"": ""Schmelzstra\u00dfe 5 5, 8663 Sankt Barbara im M\u00fcrztal, Austria""}",KFZ Krappinger
Ã–AMTC Graz-West,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""161"", ""addr:postcode"": ""8020"", ""addr:street"": ""Alte Poststra\u00c3\u0178e"", ""brand"": ""\u00c3\u2013AMTC"", ""brand:wikidata"": ""Q306057"", ""brand:wikipedia"": ""de:\u00c3\u2013sterreichischer Automobil-, Motorrad- und Touring Club"", ""name"": ""\u00c3\u2013AMTC Graz-West"", ""opening_hours"": ""24/7"", ""operator"": ""\u00c3\u2013AMTC"", ""shop"": ""car_repair"", ""address"": ""\u00d6AMTC St\u00fctzpunkt Graz-West, Alte Poststra\u00dfe 161, Graz, Styria 8020, Austria""}",Ã–AMTC Graz-West
ATSW - Kfz-Wuthe,"{""addr:city"": ""Graz"", ""addr:country"": ""AT"", ""addr:housenumber"": ""25"", ""addr:postcode"": ""8020"", ""addr:street"": ""Triester Stra\u00c3\u0178e"", ""name"": ""ATSW - Kfz-Wuthe"", ""opening_hours"": ""24/7 \""Pannenhelfer ATSW\"""", ""operator"": ""Franz Wuthe,ATSW 24h Service GmbH"", ""shop"": ""car_repair"", ""website"": ""https://www.atsw.at/"", ""website_1"": ""http://www.kfz-wuthe.at/"", ""address"": ""Triester Stra\u00dfe 25, 8020 Graz, Austria""}",ATSW - Kfz-Wuthe
Hasler,"{""addr:housenumber"": ""84"", ""addr:postcode"": ""8124"", ""addr:street"": ""Bachweg"", ""email"": ""kfz.hasler@magnet.at"", ""name"": ""Hasler"", ""phone"": ""+433125 21 57-0"", ""shop"": ""car_repair"", ""address"": ""Bachweg 84, 8124 \u00dcbelbach, Austria""}",Hasler
Autoglasdienst Rottensteiner,"{""addr:city"": ""Diepolz"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""2620"", ""addr:street"": ""Gasslweg"", ""name"": ""Autoglasdienst Rottensteiner"", ""operator"": ""Martin Rottensteiner"", ""shop"": ""car_repair"", ""address"": ""Gasslweg 1, 2620 Wartmannstetten, Austria""}",Autoglasdienst Rottensteiner
Autohaus Pachern,"{""name"": ""Autohaus Pachern"", ""operator"": ""Hr. Kopf"", ""shop"": ""car_repair"", ""address"": ""Harter S\u00fcd Stra\u00dfe 6, 8075 Hart bei Graz, Austria""}",Autohaus Pachern
Mazda,"{""addr:city"": ""Sankt Margarethen bei Knittelfeld"", ""addr:country"": ""AT"", ""addr:housenumber"": ""8"", ""addr:postcode"": ""8720"", ""addr:street"": ""Hauptstra\u00c3\u0178e"", ""brand"": ""Mazda"", ""name"": ""Mazda"", ""phone"": ""+43 3512 85791"", ""shop"": ""car_repair"", ""address"": ""Hauptstra\u00dfe 8, 8720 Sankt Margarethen bei Knittelfeld, Austria""}",Mazda
EHS ElektrohaushaltsgerÃ¤te,"{""name"": ""EHS Elektrohaushaltsger\u00c3\u00a4te"", ""office"": ""company"", ""service"": ""repair"", ""address"": ""Feldkirchner Stra\u00dfe 283, 9020 Klagenfurt am W\u00f6rthersee, Austria""}",EHS ElektrohaushaltsgerÃ¤te
Johann Zelenka,"{""addr:city"": ""Feldbach"", ""addr:housenumber"": ""14"", ""addr:place"": ""H\u00c3\u00b6flach"", ""addr:postcode"": ""8330"", ""name"": ""Johann Zelenka"", ""phone"": ""+43 3159 2124"", ""shop"": ""car_repair"", ""website"": ""http://www.auto-zelenka.at/"", ""address"": ""H\u00f6flach 14, 8330 Feldbach, Austria""}",Johann Zelenka
Bim Folien & Autoglas,"{""addr:city"": ""Leoben"", ""addr:country"": ""AT"", ""addr:housenumber"": ""19"", ""addr:postcode"": ""8700"", ""addr:street"": ""Judendorfer Stra\u00c3\u0178e"", ""addr:suburb"": ""Judendorf"", ""name"": ""Bim Folien & Autoglas"", ""opening_hours"": ""Mo-Fr 08:00-12:00,13:00-17:00"", ""phone"": ""+43 3842 23028"", ""shop"": ""car_repair"", ""source"": ""survey; basemap.at Orthofoto; local_knowledge"", ""website"": ""https://bim-autoglas.at/"", ""address"": ""Judendorfer Stra\u00dfe 19a, 8700 Leoben, Austria""}",Bim Folien & Autoglas
